word,appears_in,Auditory.mean,Dominant.action,Dominant.perceptual,Dominant.sensorimotor,Exclusivity.action,Exclusivity.perceptual,Exclusivity.sensorimotor,Foot_leg.mean,Gustatory.mean,Hand_arm.mean,Haptic.mean,Head.mean,Interoceptive.mean,Mouth.mean,Olfactory.mean,Torso.mean,Visual.mean
2,"['10to', '64to', '75to', '87to', '93to', '98to', '103to', '107to']",1.882,hand_arm,visual,visual,0.235,0.325,0.206,1.571,0.824,1.905,2.294,1.905,0.647,0.714,0.529,0.381,3.765
3,['88to'],2.438,head,visual,visual,0.238,0.495,0.24,0.667,0.125,1.944,0.875,2.389,0,1.389,0,0.833,3.375
4,['89to'],1.278,head,visual,visual,0.348,0.437,0.257,0.579,0.278,1.053,1.333,1.895,0.278,0.895,0.278,0.263,3.167
absent,['61po'],1.486,head,visual,visual,0.33,0.4,0.23,0.611,0.459,0.722,0.865,2.389,0.919,0.944,0.324,0.722,3.243
absurd,"['45po', '58po']",3.562,head,auditory,auditory,0.52,0.417,0.276,0,0.125,0.524,0.312,2.429,1.375,1.619,0.125,0.095,2.75
abuse,['60po'],3,head,visual,visual,0.097,0.327,0.165,2.053,0.1,2.789,2.7,3.053,2.65,2.737,0.05,1.842,4.2
accents,['17po'],4.053,mouth,auditory,auditory,0.377,0.646,0.285,0.55,0.474,0.7,0.211,2.65,0.211,3.25,0.263,0.4,0.737
accentuation,['17po'],2,head,auditory,head,0.359,0.367,0.22,0.278,0.312,1.333,0.438,2.833,0.375,2.167,0.188,0.5,1.625
accepted,['61po'],2.2,head,interoceptive,head,0.308,0.277,0.171,0.737,0.4,1.211,0.85,3.526,3,2.421,0.35,1.158,2.75
accident,['17po'],3.312,head,visual,visual,0.043,0.422,0.193,2.333,0,2.476,1.062,2.81,1.312,2.381,0.312,2.286,4.375
accounted,['58po'],2.017,head,visual,head,0.551,0.302,0.248,0.222,0.462,0.722,0.811,3.5,0.829,1.278,0.512,0.222,2.664
accustom,['4po'],1.35,head,visual,visual,0.273,0.193,0.166,0.263,0.7,0.579,0.9,1.053,1.8,0.737,0.55,0.263,1.95
aches,['73po'],1,head,interoceptive,interoceptive,0.044,0.556,0.196,2.737,0.062,3.053,1.188,3.211,4.375,2.579,0.062,2.684,1.062
aching,['17po'],0.576,head,interoceptive,interoceptive,0.09,0.566,0.233,2.158,0.03,2.211,1.667,2.421,4.212,1.474,0.03,2.316,0.879
acre,"['81po', '106po']",0.6,head,visual,visual,0.32,0.613,0.325,1.762,0.05,0.476,0.8,1.905,0.4,0.333,0.25,0.429,3.45
acted,['16po'],2.571,head,visual,visual,0.055,0.388,0.138,2.55,0.238,2.85,0.571,3.15,0.81,2.8,0.238,2.4,3.19
action,"['17po', '60po', '109po']",2.625,hand_arm,visual,visual,0.084,0.361,0.149,3.45,0.25,3.5,1,2.85,2.312,2.9,0.312,2.25,4.062
