word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,exclusivity.perceptual,dominant.perceptual,exclusivity.action,dominant.action,exclusivity.sensorimotor,dominant.sensorimotor
absence,1.737,0.632,1.053,1.421,0.684,3.211,0.619,0.667,2.571,1.095,1.0,0.295,visual,0.328,head,0.176,visual
absent,1.486,0.459,0.865,0.919,0.324,3.243,0.611,0.722,2.389,0.944,0.722,0.4,visual,0.33,head,0.23,visual
absurd,3.562,0.125,0.312,1.375,0.125,2.75,0.0,0.524,2.429,1.619,0.095,0.417,auditory,0.52,head,0.276,auditory
abundant,1.357,0.357,1.5,0.929,0.429,3.786,0.222,1.5,2.722,1.222,0.667,0.41,visual,0.395,head,0.243,visual
abuse,3.0,0.1,2.7,2.65,0.05,4.2,2.053,2.789,3.053,2.737,1.842,0.327,visual,0.097,head,0.165,visual
accentuation,2.0,0.312,0.438,0.375,0.188,1.625,0.278,1.333,2.833,2.167,0.5,0.367,auditory,0.359,head,0.22,head
accepted,2.2,0.4,0.85,3.0,0.35,2.75,0.737,1.211,3.526,2.421,1.158,0.277,interoceptive,0.308,head,0.171,head
accident,3.312,0.0,1.062,1.312,0.312,4.375,2.333,2.476,2.81,2.381,2.286,0.422,visual,0.043,head,0.193,visual
accumulation,0.579,0.263,1.105,0.789,0.158,3.158,0.579,2.316,2.0,0.684,0.632,0.496,visual,0.28,hand_arm,0.245,visual
accustom,1.35,0.7,0.9,1.8,0.55,1.95,0.263,0.579,1.053,0.737,0.263,0.193,visual,0.273,head,0.166,visual
aching,0.576,0.03,1.667,4.212,0.03,0.879,2.158,2.211,2.421,1.474,2.316,0.566,interoceptive,0.09,head,0.233,interoceptive
acquaintance,3.15,0.15,1.25,0.25,0.4,4.25,0.389,1.5,2.5,1.722,0.5,0.434,visual,0.319,head,0.255,visual
acre,0.6,0.05,0.8,0.4,0.25,3.45,1.762,0.476,1.905,0.333,0.429,0.613,visual,0.32,head,0.325,visual
act,2.571,0.238,0.571,0.81,0.238,3.19,2.55,2.85,3.15,2.8,2.4,0.388,visual,0.055,head,0.138,visual
action,2.625,0.25,1.0,2.312,0.312,4.062,3.45,3.5,2.85,2.9,2.25,0.361,visual,0.084,hand_arm,0.149,visual
active,1.333,0.111,0.778,2.667,0.278,3.722,3.455,2.955,2.318,2.091,2.091,0.406,visual,0.106,foot_leg,0.166,visual
actual,2.222,0.444,1.333,1.333,0.389,3.389,0.579,0.632,1.158,0.526,0.632,0.329,visual,0.179,head,0.237,visual
actually,0.95,0.1,0.35,0.85,0.1,1.1,0.056,0.167,0.889,0.778,0.056,0.29,visual,0.429,head,0.194,visual
add,0.739,0.043,0.435,1.478,0.043,2.478,0.4,2.2,2.95,1.25,0.25,0.467,visual,0.383,head,0.237,head
added,2.118,0.471,0.647,0.353,0.353,3.588,0.5,2.8,3.55,1.25,0.45,0.43,visual,0.363,head,0.201,visual
addition,1.275,0.175,0.5,0.425,0.125,3.325,0.368,2.0,3.579,1.368,0.474,0.549,visual,0.412,head,0.254,head
address,1.882,0.0,0.118,0.176,0.059,3.941,0.35,0.85,2.6,2.35,0.15,0.638,visual,0.389,head,0.316,visual
adjustment,0.895,0.368,1.842,0.842,0.526,3.158,1.526,2.211,1.947,1.263,2.368,0.366,visual,0.119,torso,0.165,visual
administration,2.188,0.0,0.125,0.938,0.0,3.438,0.421,1.105,3.0,2.211,0.211,0.514,visual,0.402,head,0.252,visual
admitted,3.824,0.294,0.294,0.882,0.118,2.588,0.263,0.474,2.526,2.684,0.316,0.463,auditory,0.387,mouth,0.26,auditory
adopt,1.222,0.056,1.056,1.222,0.111,1.889,0.65,1.65,2.05,1.35,0.9,0.33,visual,0.212,head,0.164,head
adventure,1.667,0.333,1.0,1.667,0.333,2.833,3.143,2.952,3.333,2.333,2.286,0.319,visual,0.075,head,0.137,head
age,2.25,1.25,1.812,2.25,1.062,3.812,2.429,2.381,3.429,2.238,2.238,0.221,visual,0.094,head,0.109,visual
agitation,2.632,0.211,1.0,4.211,0.368,2.789,1.25,1.65,3.2,2.85,1.25,0.357,interoceptive,0.191,head,0.187,interoceptive
agreeable,2.737,0.211,0.368,2.0,0.158,2.684,0.421,0.947,2.789,2.526,0.632,0.316,auditory,0.324,head,0.17,head
aim,0.368,0.0,0.895,0.368,0.0,3.947,1.0,3.85,3.3,0.65,1.35,0.708,visual,0.315,hand_arm,0.251,visual
aiming,0.562,0.188,0.938,0.688,0.188,3.562,1.211,3.211,2.368,0.263,1.105,0.551,visual,0.361,hand_arm,0.236,visual
air,1.684,0.368,2.789,1.368,1.842,0.684,1.95,2.45,3.95,3.85,2.3,0.277,haptic,0.138,head,0.154,head
alas,1.2,0.0,0.0,0.467,0.0,0.333,0.182,0.364,2.0,0.864,0.273,0.6,auditory,0.494,head,0.352,head
ale,0.438,3.75,1.188,1.438,2.375,2.938,0.118,1.588,2.176,3.588,1.353,0.273,gustatory,0.393,mouth,0.173,gustatory
alike,2.421,1.105,1.526,1.421,1.211,3.895,0.667,1.333,2.667,0.905,0.476,0.241,visual,0.362,head,0.194,visual
alleviation,1.667,0.4,1.467,2.4,0.933,2.467,0.667,1.333,2.381,1.19,0.667,0.221,visual,0.275,head,0.133,visual
alley,0.8,0.15,0.3,0.2,0.8,3.8,2.263,1.263,2.053,0.842,0.737,0.603,visual,0.213,foot_leg,0.276,visual
almost,1.824,0.294,0.647,1.471,0.412,2.294,0.632,0.842,2.0,1.0,0.684,0.288,visual,0.265,head,0.165,visual
alone,1.0,0.053,0.421,3.316,0.211,3.579,0.35,0.6,2.8,0.35,0.7,0.411,visual,0.51,head,0.264,visual
along,1.0,0.176,0.706,1.176,0.059,2.118,1.5,1.4,1.9,1.05,1.2,0.393,visual,0.121,head,0.168,visual
alright,1.905,0.333,0.429,3.333,0.381,1.905,0.55,0.8,2.5,2.0,0.55,0.362,interoceptive,0.305,head,0.204,interoceptive
also,0.833,0.0,0.0,0.722,0.0,1.111,0.4,0.45,2.0,1.45,0.45,0.417,visual,0.337,head,0.27,head
alter,0.895,0.526,1.632,1.0,0.526,2.684,1.263,2.526,3.0,1.579,1.053,0.297,visual,0.207,head,0.148,head
alteration,1.432,0.324,1.649,0.649,0.459,3.622,1.053,2.895,2.421,1.0,1.211,0.405,visual,0.221,hand_arm,0.197,visual
altogether,1.647,0.176,0.941,1.353,0.294,2.471,0.75,1.3,2.4,1.8,0.65,0.333,visual,0.254,head,0.166,visual
always,0.706,0.0,0.0,1.0,0.0,1.824,0.611,0.889,1.556,0.778,0.389,0.517,visual,0.276,head,0.235,visual
ample,1.105,0.263,0.737,0.947,0.053,2.895,0.5,1.278,2.111,1.167,0.833,0.474,visual,0.274,head,0.239,visual
amusing,1.882,0.118,0.353,3.412,0.176,2.118,0.667,1.0,3.222,2.222,0.944,0.409,interoceptive,0.317,head,0.204,interoceptive
ancient,0.824,0.176,1.412,0.706,0.588,3.353,0.136,0.591,2.0,0.318,0.136,0.45,visual,0.586,head,0.314,visual
