word,appears_in
carafe,['0to']
blind,"['0to', '26po', '61po', '109po']"
glass,"['0to', '0po', '11po', '47po', '59po', '80po', '109po']"
kind,"['0po', '2po', '11po', '24po', '38po', '54po', '58po', '60po', '65po', '66po']"
cousin,['0po']
spectacle,"['0po', '17po', '109po']"
nothing,"['0po', '6to', '11po', '17po', '20po', '29po', '37po', '45po', '58po', '60po', '62po', '109po']"
strange,"['0po', '4po', '33po', '53po', '58po', '59po', '60po', '78po', '80po', '95po', '109po']"
single,"['0po', '4po', '6po', '8po', '27po', '35po', '42po', '58po', '59po', '60po', '63po', '69po', '71to', '71po', '109po']"
hurt,"['0po', '2po', '53po', '60po']"
color,"['0po', '1po', '2po', '4po', '5po', '7po', '10po', '11po', '12po', '13po', '15po', '16po', '19po', '22po', '25po', '37po', '58po', '60po', '62po', '109po']"
arrangement,"['0po', '10po', '17po', '41po', '60po', '109po']"
system,"['0po', '8po']"
pointing,['0po']
ordinary,"['0po', '2po', '58po', '60po', '61po', '109po']"
unordered,['0po']
resembling [resemble],['0po']
difference,"['0po', '2po', '42po', '58po', '109po']"
spreading,"['0po', '21po', '109po']"
glazed,['1to']
glitter,['1to']
nickel,['1po']
originally,['1po']
rid,"['1po', '22po']"
cover,"['1po', '2po', '5po', '10po', '11po', '54po', '106po', '109po']"
change,"['1po', '2po', '6po', '11po', '27po', '35po', '44po', '47po', '58po', '59po', '60po', '61po', '63po', '66po', '72po', '80po', '109po']"
red,"['1po', '2po', '3po', '6po', '9to', '10po', '13po', '14to', '14po', '22po', '40to', '40po', '48po', '52po', '53po', '58po', '62po', '63po', '80po', '83po', '92po', '94po', '106po', '107po', '109po']"
weakens [weaken],['1po']
hour,"['1po', '52po']"
come,"['1po', '2po', '20po', '38po', '45po', '68po', '69po', '97po', '98po', '109po']"
search,"['1po', '58po', '61po']"
hope,"['1po', '17po', '37po', '45po', '54po', '58po']"
interpretation,['1po']
sometime,['1po']
surely,"['1po', '43po', '59po', '109po']"
unwelcome,['1po']
breath,"['1po', '109po']"
sinecure [cinch],['1po']
charming,"['1po', '109po']"
clean,"['1po', '2po', '4po', '42po', '58po', '78po', '109po']"
cleansing,['1po']
certainly,"['1po', '6po', '12po', '17po', '58po', '60po', '109po']"
glittering,['1po']
handsome,"['1po', '20po', '109po']"
convincing,['1po']
gratitude,"['1po', '2po']"
mercy,"['1po', '5po', '84po']"
medicine,"['1po', '58po']"
breakages [breakage],['1po']
japanese [japan],"['1po', '27po']"
programme [program],['1po']
chosen,['1po']
yesterday,"['1po', '58po', '60po', '72po', '109po']"
showed [show],"['1po', '19po', '20po', '109po']"
spitting,['1po']
perhaps,['1po']
washing,"['1po', '11po', '82po']"
polishing [polish],['1po']
obligation,"['1po', '58po']"
borrowing,"['1po', '109po']"
natural,"['1po', '68po', '109po']"
use,"['1po', '2po', '4po', '10po', '12po', '14po', '19po', '20po', '22po', '37po', '38po', '58po', '60po', '61po', '66po', '72po', '105po', '109po']"
giving,"['1po', '11po', '109po']"
substance,"['2to', '3po', '10po', '109po']"
cushion,"['2to', '2po']"
likely,"['2po', '4po', '47po', '59po', '60po', '65po', '72po', '109po']"
little,"['2po', '11po', '22po', '37to', '40po', '42po', '43po', '45to', '45po', '46po', '47po', '49po', '52po', '53po', '54po', '58po', '59po', '61po', '63po', '65po', '66po', '68po', '69po', '70po', '71po', '72po', '73po', '78po', '79po', '81po', '83po', '85po', '91po', '95po', '97po', '109po']"
prepared,['2po']
sugar,"['2po', '58po', '61to', '69po', '109po']"
vegetable,"['2po', '70po', '83to', '84to']"
callous,['2po']
something,"['2po', '3po', '6po', '58po', '59po', '109po']"
hardening,['2po']
leaves,"['2po', '84po']"
behind,"['2po', '33po', '69po', '109po']"
soft,['2po']
genuine,['2po']
interest,['2po']
present,"['2po', '12po', '59po', '60po', '62po']"
